,size,runtime
0,15,0.3112013339996338
1,15,0.26828527450561523
2,15,0.2752649784088135
3,15,0.3092081546783447
4,15,0.3779594898223877
5,15,0.2872316837310791
6,15,0.36302971839904785
7,15,0.3680148124694824
8,15,0.32616376876831055
9,15,0.43779945373535156
10,25,1.4790785312652588
11,25,0.8800303936004639
12,25,2.2500226497650146
13,25,2.946179151535034
14,25,0.6143598556518555
15,25,1.0033187866210938
16,25,1.262279987335205
17,25,1.193721055984497
18,25,1.7311649322509766
19,25,1.303516149520874
