,size,runtime_degree,runtime_random
0,5,0.015958070755004883,0.009974479675292969
1,5,0.014984607696533203,0.007977724075317383
2,5,0.01695537567138672,0.008982658386230469
3,5,0.014960050582885742,0.001994609832763672
4,5,0.015001773834228516,0.008966207504272461
5,5,0.02293872833251953,0.01495981216430664
6,5,0.023936033248901367,0.009973287582397461
7,5,0.01595759391784668,0.007979393005371094
8,5,0.022938013076782227,0.009974002838134766
9,5,0.021940946578979492,0.013963460922241211
10,15,0.16456174850463867,0.11872506141662598
11,15,0.0987703800201416,0.07579541206359863
12,15,0.1849358081817627,0.2812469005584717
13,15,0.13364386558532715,0.0937490463256836
14,15,0.15358734130859375,0.1156930923461914
15,15,0.09677362442016602,0.07277441024780273
16,15,0.19544410705566406,0.19248485565185547
17,15,0.13065099716186523,0.0578458309173584
18,15,0.10970783233642578,0.09175467491149902
19,15,0.21741914749145508,0.12868928909301758
20,25,4.54692816734314,13.23053503036499
21,25,1.3633558750152588,6.147589683532715
22,25,35.36733651161194,93.95907711982727
23,25,5.935726881027222,12.647237062454224
24,25,5.717229843139648,20.81006622314453
25,25,3.7330551147460938,2.746626615524292
26,25,4.553096294403076,12.07472848892212
27,25,1.7403504848480225,2.198119878768921
28,25,4.4676430225372314,2.446131706237793
29,25,2.6678690910339355,10.72078824043274
