,size,runtime
0,5,0.05884528160095215
1,5,0.04787135124206543
2,5,0.04886937141418457
3,5,0.05983781814575195
4,5,0.0578458309173584
5,5,0.07978653907775879
6,5,0.07679581642150879
7,5,0.05285811424255371
8,5,0.05186152458190918
9,5,0.05385780334472656
10,15,0.4737539291381836
11,15,0.42885375022888184
12,15,0.5026564598083496
13,15,0.39394593238830566
14,15,0.39696717262268066
15,15,0.27426838874816895
16,15,0.5515244007110596
17,15,0.5375633239746094
18,15,0.38497138023376465
19,15,0.676224946975708
20,25,25.22757601737976
21,25,8.08638858795166
22,25,15.98627233505249
23,25,38.38203692436218
24,25,71.77007365226746
25,25,11.260942220687866
26,25,43.53227996826172
27,25,96.46812868118286
28,25,36.13878583908081
29,25,2.9013137817382812
