,size,runtime
0,5,0.020944595336914062
1,5,0.020977020263671875
2,5,0.018916606903076172
3,5,0.018982648849487305
4,5,0.018949270248413086
5,5,0.026930809020996094
6,5,0.027924537658691406
7,5,0.01894354820251465
8,5,0.024901866912841797
9,5,0.02490401268005371
10,15,0.14359021186828613
11,15,0.13164663314819336
12,15,0.14960837364196777
13,15,0.15959882736206055
14,15,0.18849587440490723
15,15,0.11668801307678223
16,15,0.2154245376586914
17,15,0.15262842178344727
18,15,0.1765270233154297
19,15,0.22835874557495117
20,25,4.581787109375
21,25,1.3568546772003174
22,25,24.30073046684265
23,25,4.861034154891968
24,25,0.594437837600708
25,25,96.3134663105011
26,25,1.9836993217468262
27,25,1.869041919708252
28,25,3.7768733501434326
29,25,3.170555830001831
