,size,runtime
0,5,0.01595592498779297
1,5,0.011967182159423828
2,5,0.019947290420532227
3,5,0.010970115661621094
4,5,0.01795339584350586
5,5,0.009971857070922852
6,5,0.01695561408996582
7,5,0.001993894577026367
8,5,0.01495981216430664
9,5,0.008975982666015625
10,5,0.024934053421020508
11,5,0.015957355499267578
12,5,0.02293872833251953
13,5,0.008977413177490234
14,5,0.016955137252807617
15,5,0.008974552154541016
16,5,0.016987085342407227
17,5,0.00894474983215332
18,5,0.017919301986694336
19,5,0.008975744247436523
20,15,0.10481715202331543
21,15,0.09474706649780273
22,15,0.08377742767333984
23,15,0.06781911849975586
24,15,0.10272574424743652
25,15,0.0718069076538086
26,15,0.12466716766357422
27,15,0.12267088890075684
28,15,0.12666058540344238
29,15,0.08776617050170898
30,15,0.07280564308166504
31,15,0.055850982666015625
32,15,0.11170125007629395
33,15,0.08577203750610352
34,15,0.11369538307189941
35,15,0.0907588005065918
36,15,0.07978677749633789
37,15,0.07080936431884766
38,15,0.1346721649169922
39,15,0.08374476432800293
40,25,1.235696792602539
41,25,2.387620687484741
42,25,0.659203052520752
43,25,1.3753228187561035
44,25,3.6753311157226562
45,25,16.687397718429565
46,25,1.3503198623657227
47,25,0.8167858123779297
48,25,3.1795008182525635
49,25,1.466376781463623
50,25,0.469775915145874
51,25,0.3839418888092041
52,25,1.353416919708252
53,25,4.809765338897705
54,25,2.0844595432281494
55,25,4.143279314041138
56,25,1.0960705280303955
57,25,1.0950748920440674
58,25,1.267613172531128
59,25,2.9224331378936768
