,size,runtime_degree,runtime_random
0,5,0.017951488494873047,0.009973287582397461
1,5,0.015957117080688477,0.008975505828857422
2,5,0.01795220375061035,0.008976221084594727
3,5,0.015952348709106445,0.0019948482513427734
4,5,0.0159604549407959,0.007978677749633789
5,5,0.0229036808013916,0.01797962188720703
6,5,0.02889227867126465,0.012964963912963867
7,5,0.022927045822143555,0.014960050582885742
8,5,0.019979476928710938,0.008980751037597656
9,5,0.01891040802001953,0.009972810745239258
10,15,0.10172772407531738,0.08577275276184082
11,15,0.10671448707580566,0.10372304916381836
12,15,0.10671520233154297,0.0848076343536377
13,15,0.11864686012268066,0.11173224449157715
14,15,0.09175348281860352,0.09172177314758301
15,15,0.08380794525146484,0.06679034233093262
16,15,0.13663506507873535,0.16156840324401855
17,15,0.09574389457702637,0.055852651596069336
18,15,0.09275221824645996,0.0827789306640625
19,15,0.11469268798828125,0.11968040466308594
20,25,0.8666822910308838,3.342102289199829
21,25,0.7789177894592285,0.840721845626831
22,25,1.5179429054260254,2.3745310306549072
23,25,1.221736192703247,0.28320884704589844
24,25,2.1719810962677,0.974639892578125
25,25,15.426061391830444,65.91884851455688
26,25,2.8406641483306885,24.101770877838135
27,25,1.3723301887512207,0.7539834976196289
28,25,2.375650644302368,4.865872859954834
29,25,0.8063228130340576,11.99986720085144
